id,accreditations,alternate_name,date_incorporated,description,email,funding_sources,legal_status,licenses,name,tax_id,tax_status,website
474,,"North River Elementary",,"School District",,,,,"North River School District",,,http://www.nr.k12.wa.us/
475,,"Ilwaco High School",,"School District",,,,,"Ocean Beach School District",91-0972358,,http://www.ocean.k12.wa.us/
476,,"Ocosta Jr High",,"School District",,,,,"Ocosta School District",,,http://www.ocosta.k12.wa.us/
477,,"Pioneer Primary School",,"School District",,,,,"Pioneer School District",,,http://www.psd402.org
478,,"Lake Quinault High School",,"The K-12/165 students, Lake Quinault School District, serves the communities of Amanda Park, Quinault, Neilton Queets/Clearwater and Humptulips, all located along Highway 101.  Students are located on one campus",,,,,"Lake Quinault School District",,,http://www.lakequinaultschools.org
479,,"Raymond Elementary",,"Raymond School District.",,,,,"Raymond School District",,,http://www.raymondk12.org/
480,,"Shelton High School",,"School District",,,,,"Shelton School District",,,http://www.sheltonschool.org
481,,"Early Learning Center",,"School District",,,,,"South Bend School District",,,http://www.southbend.wednet.edu/
482,,"Southside Elementary School",,"School District.",,,,,"Southside School District",,,http://www.southside.k12.wa.us
483,,"Taholah Elementary",,"School District.",,,,,"Taholah School District",,,
484,,"Wishkah High School",,"Administers the Wishkah Valley School and provides Kindergarten-12th grade education.",,,,,"Wishkah Valley School District",,,http://www.wishkah.org/
485,,"Willapa Elementary School",,"School District",,,,,"Willapa Valley School District",,,http://www.willapa.wednet.edu/
486,,"Oakville High School",,"School District",,,,,"Oakville School District",,,http://www.oakvilleschools.org
487,,"Satsop Elementary",,"School District",,,,,"Satsop School District",,,
488,,DOC,,"The Department of Corrections supervises adults following conviction from Superior Courts after release from jail or prison.  Monitors treatment services as ordered by the court.",,,,,"Washington State Department of Corrections - Kitsap",,,http://www.doc.wa.gov
489,,KCC,,"Provides medical care to the children of our community. Board certified pediatricians and pediatric nurse practitioners have the experience and knowledge to diagnose and treat children, and promote health and well being from birth to adulthood.",,,,,"Kitsap Children's Clinic",,,http://www.kitsapchildrensclinic.com
490,,CRC,,"Provides a comprehensive outpatient chemical dependency recovery program to adolescents and adults.",,,,,"Cascade Recovery Center",,,http://www.cascaderecoverycenter.com/
491,,NJP,,"Kitsap Legal Services is a 501(c)(3) non-profit organization located in Bremerton, Washington. Our mission is to provide quality, accessible civil legal aid to local vulnerable residents through compassionate staff and volunteers. We do this by offering legal advice clinics, direct representation, resource referrals, and community education.",,,,,"Kitsap Legal Services",043633459,,http://www.kitsaplegalservices.org
492,,"Edward P Savidge DDS",,"Dr Edward Savidge provides comprehensive dental services including routing cleanings to sedation dentistry for to individuals and families.",,,,,"Admiralty Dental Center",,,http://www.porttownsendfamilydentist.com
493,,,,"We have been proud to care for the families of the North Olympic Peninsula since 1970. From newborns to college students, it is our privilege to help keep children healthy and active. Whether for routine care or in times of illness or emergency, we are there for you. Our goal is to provide high quality, accessible care for families in a respectful and nurturing environment.",,,,,"Peninsula Children's Clinic",,,http://www.peninsulachildrensclinic.com
494,,DMV,,"Issues new driver licenses, identification cards, and instruction permits; also renews and duplicates identification cards.",,,,,"Washington State Department of Licensing - Kitsap",,,http://www.dol.wa.gov
495,,DOL,,"Issues new driver licenses, identification cards, and instruction permits; also renews and duplicates identification cards.  Provides parking permits to people with disabilities.",,,,,"Washington State Department of Licensing - Clallam",,,http://www.dol.wa.gov
496,,DMV,,"Issues new driver licenses, identification cards, and instruction permits; also renews and duplicates identification cards.  Provides parking permits to people with disabilities.",,,,,"Washington State Department of Licensing - Jefferson",,,http://www.dol.wa.gov
497,,NWFC,,"NW Family Counseling Services' purpose is to reach out to a provide intervention and professional services to people facing hopelessness, frustration, relationship issues, anger and loss.  The counseling staff is dedicated to aiding those who are in search of emotional healing, restoration, and peace within themselves. It is our aim to assist individuals in achieving their goals for personal growth and overcome the obstacles that stand in the way.  We are distinctly Christian and founded on the principles of the word of God that teaches us that knowing the truth sets us free. However, clients do not need to profess the Christian faith as a prerequisite to counseling.",,,,,"Northwest Family Counseling Services",,,http://nwfamilycounselingservices.com/
498,,FMPA,,"We strive to provide the finest primary care services in the world. This includes but is not limited to adult medicine (preventive care, acute illnesses, hospital, and nursing home care), pediatric medicine (well child, preventive, acute illnesses, and hospital care), and obstetrical medicine (low and high risk obstetrics).  Special procedures include circumcision, vasectomy, colonoscopy, tubal ligation after childbirth, colposcopy, upper GI endoscopy, skin biopsy, cryosurgery, endometrial biopsies, audiograms, and more!",,,,,"Family Medicine of Port Angeles",,,http://fmpa.net
499,,"Kelly West LICSW",,"Works with families, adolescents, individuals, and couples. We offer evaluations, psychotherapy, medication management, neurofeedback, computerized testing, and court related services, as well as forensic evaluations.",,,,,"Front Street Clinic",,,http://www.frontstreetclinic.org
500,,OLYCAP,,"Olympic Community Action is more than just a collection of human service programs.  It is a spirit.  It is the spirit of people working together, changing lives - ""helping people to help themselves.""  That's just the way we do things here on the beautiful Olympic Peninsula.",,,,,"Olympic Community Action Programs - Jefferson",,,http://www.olycap.org
501,,"ABC of Kitsap",,"ABC of Kitsap is dedicated to assisting community members in achieving financial stability.  Improve financial management by providing financial education to improve debt and provide financial assistance.",,,,,"Asset Building Coalition of Kitsap County",,,http://www.abckitsap.org
502,,"Elma Food Bank",,"Food Bank.",,,,,"East Grays Harbor County Food Bank",911244371,,
503,,,,"AARP Tax-Aide and VITA Tax Assistance",,,,,"Free Tax Preparation - Clallam",,,
504,,"OlyCAP Asset Building Coalition",,"AARP Tax-Aide",,,,,"Free Tax Preparation - Jefferson",,,
505,,"Shoalwater Tribal Center",,"Tribal Center",,,,,"Shoalwater Bay Indian Tribe",,,http://www.shoalwaterbay-nsn.gov/
506,,N/A,,"NA is a non-profit Fellowship or society of men and women for whom drugs had become a major problem.  We are recovering addicts who meet regularly to help each other stay clean.  This is a program of complete abstinence from all drugs.",,,,,"North Olympic Peninsula Narcotics Anonymous",,,http://www.nopana.org
507,,CLC,,"The Christian Life Center helps people develop meaningful relationships with God and each other.  These services are delivered primarily through Connect Points. These are intentional opportunities, ministries and activities to help people become interconnected with other believers.  Connect Points include service greeting time, small groups, bible studies, after service connects, Sunday summer nights, Team CLC and other ministry groups.",,,,,"Christian Life Center",,,http://www.clcportorchard.org
508,,KCR,,"Kitsap Community Resources has provided services to low-income individuals in Kitsap County for over 40 years. Our mission is to create hope and opportunity for low-income Kitsap County residents by providing resources that promote self-sufficiency. Our goal is to provide stability and opportunity for those in unfortunate circumstances such as poverty, domestic violence, debilitating health, or homelessness.  From prenatal care to childhood education to housing and energy assistance to employment and training, our services cover a wide range of needs that successfully achieve the ultimate goals of providing hope, opportunity, and self-sufficiency.",,,,,"Kitsap Community Resources",910791411,,http://www.kcr.org
509,,CCFD,,"Provides fire and EMS services to outlying areas around Port Angeles.",,,,,"Clallam County Fire District 2",91-1212991,,http://www.clallamfire2.org
510,,ESD,,"Assists job seekers with job search and referral information.  Allows computer access to the automated job search system, has information on community resources, and has a Career Development center resource room.  Workshops focused on developing job skills",,,,,"WorkSource - Mason",,,
511,,"Children and Family Services",,"Operates a child abuse hotline.  Provides child protective services and child welfare services.  Also provides family reconciliation services to families with adolescents who have run away.  Connects families interested in adopting with children in DSHS custody.",,,,,"DSHS - Division of Children and Family Services - Grays Harbor",,,http://www.dshs.wa.gov/ca/general/index.asp
512,,"DSHS - DCFS",,"Operates a child abuse hotline.  Provides child protective services and child welfare services.  Also provides family reconciliation services to families with adolescents who have run away.  Connects families interested in adopting with children in DSHS custody.",,,,,"DSHS - Division of Children and Family Services - Pacific",,,http://www.dshs.wa.gov/ca/general/index.asp
513,,"Medicaid Tran",,"Paratransit Services is a private, nonprofit transportation company, specializing in transportation call center management.It has been our privilege to provide high-quality, accessible transportation services since 1980 to those who need it the most: persons who are elderly or disabled or who live in rural areas without personal means of transportation. For our call center customers, accessible public transportation represents an important social service, and we at Paratransit Services take pride in doing our part to provide these services while maintaining uncompromised levels of quality, safety, and sensitivity.
",,,,,"Paratransit Services",911253112,,http://www.wanemt.com/
514,,WYA,,"The vision of the Washington Youth Academy is to provide at-risk youth a quality education, positive values, and life and job skills training that will change their lives and give them hope and opportunity for a new future.",,,,,"Washington Youth Academy",,,http://www.mil.wa.gov
515,,"UCC Church",,"Offers a free meal to those in need in the Suquamish and North Kitsap areas.",,,,,"Suquamish Community Kitchen",,,http://www.suquamishucc.org
516,,,,"I believe all individuals have within themselves the strengths and resources to survive and thrive in the midst of intense challenge and personal struggle.  I will work with you to create a safe, trusting, and supportive environment in which to address traumatic issues in your life to create positive and lasting change.",,,,,"A Step for Change Counseling Services",,,
517,,"Martina Abb-Richard, LISW",,"I work with children and adults with PTSD, behavior issues, anxiety, high conflict couples, grief - Christian orientation non-imposed -life adjustments, domestic violence, and forensic counseling.",,,,,"Lighthouse Counseling Center",,,
518,,O3A,,"Olympic Area Agency on Aging (O3A) serves as a single entry-point for senior information and assistance for Grays Harbor, Pacific, Clallam and Jefferson Counties. We can answer your questions (or find the answer!), link you with services and generally assist you in obtaining the services, assistance and information you need.  O3A provides a network of in-home and community services, supports, programs and assistance to older adults and qualified disabled adults in its four-county service area.",,,,,"Olympic Area Agency on Aging - Grays Harbor",,,http://www.o3a.org
519,,"Forks Food Bank",,"Our purpose is to provide food to meet the basic need of individuals and families who are financially unable to purchase this food themselves. We also give supplemental food to those who live on very limited incomes.",,,,,"Forks Community Food Bank",911102628,,
520,,GHCH,,"Grays Harbor Community Hospital's health care team consists of Physicians, Nurses, other Health Care Professionals, and Students of the Health Sciences. 

These professionals provide needed diagnostic treatment and patient care services of the highest standards. Each patient at Grays Harbor Community hospital has an attending physician who has primary responsibility for the patient's medical care.

Grays Harbor Community Hospital's mission: 
To Heal, Comfort and Serve our Community with Compassion.",,,,,"Grays Harbor Community Hospital",910568304,,http://www.ghcares.org/
521,,www,,"Resources not listed in 2-1-1 Database and found using the internet",,,,,"Peninsulas' Other Resources Not Listed",,,
522,,ALTSA,,"Helps aging and disabled adults by providing in-home assistance and home health care.  Investigates reports of adult abuse and neglect. Makes referrals to other agencies.",,,,,"DSHS - Aging and Long-Term Support Administration - Home and Community Services - Jefferson",,,http://www.altsa.dshs.wa.gov/
523,,DVR,,"Helps people with disabilities prepare for, obtain, and keep employment.  Programs are custom-designed for each individual.  Works in partnership with the community and business to develop employment opportunities for people who have disabilities.",,,,,"DSHS - Division of Vocational Rehabilitation - Jefferson",,,http://www.dshs.wa.gov/dvr/
524,,"DSHS - DCFS",,"Operates a child abuse hotline.  Provides child protective services and child welfare services.  Also provides family reconciliation services to families with adolescents who have run away.  Connects families interested in adopting with children in DSHS custody.",,,,,"DSHS - Division of Children and Family Services - Jefferson",,,http://www.dshs.wa.gov/ca/general/index.asp
525,,DDA,,"Serves as the point of entry for all the division's services to people with cognitive disabilities.  Provides case management, family support and residential services, child development, employment and community access.",,,,,"DSHS - Developmental Disabilities Administration - Jefferson",,,http://www1.dshs.wa.gov/index.html
526,,DDA,,"The Developmental Disabilities Administration strives to develop and implement public policies that will promote individual worth, self-respect, and dignity such that each individual is valued as a contributing member of the community.",,,,,"DSHS - Developmental Disabilities Administration - Clallam",,,http://www.dshs.wa.gov/dda/
527,,ALTSA,,"Helps vulnerable adults by providing in-home assistance and in home care, as well as Nursing Home, Assisted Living Facilities and Adult Family Homes.  Investigates reports of adult abuse and neglect.",,,,,"DSHS - Aging and Long-Term Support Administration - Home and Community Services - Clallam",,,http://www.altsa.dshs.wa.gov/
528,,"DSHS - DCFS",,"Operates a child abuse hotline.  Provides child protective services and child welfare services.  Also provides family reconciliation services to families with adolescents who have run away.  Connects families interested in adopting with children in DSHS custody.",,,,,"DSHS - Division of Children and Family Services - Clallam",,,http://www.dshs.wa.gov/ca/general/index.asp
529,,"DSHS - DVR",,"Helps people with disabilities prepare for, obtain and keep employment.  THe Individual Plan for Employment (IPE) is created, agreed to and signed by the DVR counselor and customer.  DVR works ion partnership with the community and business entities to develop employment opportunities for people who have permanent disabilities.",,,,,"DSHS - Division of Vocational Rehabilitation - Clallam",,,http://www.dshs.wa.gov/dvr
530,,DDA,,"Serves as the point of entry for all the division's services to people with cognitive disabilities.  Provides case management, family support and residential services, child development, employment and community access.",,,,,"DSHS - Developmental Disabilities Administration - Kitsap",,,
531,,ALTSA,,"Helps vulnerable adults by providing in-home assistance and home health care.  Investigates reports of adult abuse and neglect.  Distributes farmer's market vouchers once each year.",,,,,"DSHS - Aging and Long-Term Support Administration - Home and Community Services - Kitsap",,,http://www.altsa.dshs.wa.gov/
532,,"DSHS - DCFS",,"Operates a child abuse hotline.  Provides child protective services and child welfare services.  Also provides family reconciliation services to families with adolescents who have run away.  Connects families interested in adopting with children in DSHS custody.",,,,,"DSHS - Division of Children and Family Services - Kitsap",,,http://www.dshs.wa.gov/ca/general/index.asp
533,,"DSHS - DVR",,"Helps people with disabilities prepare for, obtain and keep employment.  Programs are custom-designed for each individual.  Works in partnership with the community and business to develop employment opportunities for people who have disabilities.",,,,,"DSHS - Division of Vocational Rehabilitation - Kitsap",,,
534,,DDA,,"Serves as the point of entry for all the division's services to people with cognitive disabilities.  Provides case management, family support and residential services, child development, employment and community access.",,,,,"DSHS - Developmental Disabilities Administration - Mason",,,http://www.dshs.wa.gov/ddd/
535,,"DSHS - CSO",,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, child care, and medical expenses to those who are eligible.  Also provides limited cash assistance.",,,,,"DSHS - Community Services Offices - Mason",,,
536,,DDA,,"Serves as the point of entry for all the division's services to people with cognitive disabilities.  Provides case management, family support and residential services, child development, employment and community access.",,,,,"DSHS - Developmental Disabilities Administration - Grays Harbor",,,
537,,"DSHS - CSO",,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, child care, and medical expenses to those who are eligible.  Also provides limited cash assistance.",,,,,"DSHS - Community Services Offices - Grays Harbor",,,
538,,"DSHS - CSO",,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, child care, and medical expenses to those who are eligible.  Also provides limited cash assistance.",,,,,"DSHS - Community Services Offices - Pacific",,,
539,,"1st Lutheran Church",,"Free meal every Thursday at First Lutheran Church in Poulsbo, 5pm-6pm.",,,,,"Poulsbo First Lutheran Church",,,http://www.pflc.org
540,,KCCC,,"211 Emergent Needs",,,,,"Peninsulas' 2-1-1 Emergent Needs",,,http://www.crisisclinicofthepeninsulas.org/currentevents/
541,,"Aberdeen NHS",,"The mission of NeighborWorks is to develop partnerships in the community between residents, business, and government to create safe and affordable housing opportunities for all residents of Grays Harbor County.",,,,,"NeighborWorks of Grays Harbor County",911160504,,http://www.aberdeen-nhs.com
542,,"The Hub",,"Bremerton Rescue Mission exists to deliver help and hope to the homeless and poor who live in Bremerton and outlying areas of Kitsap County through mobile outreach efforts and a network of student/discipleship houses.",,,,,"Kitsap Rescue Mission",270447475,,http://www.bremrescue.org
543,,,,"Mason County Government Services.",,,,,"Mason County Government",,,http://www.co.mason.wa.us
544,,,,"Grays Harbor County Government",,,,,"Grays Harbor County Government",,,http://www.co.grays-harbor.wa.us
545,,,,"Pacific County Government",,,,,"Pacific County Government",,,http://www.co.pacific.wa.us/
546,,"Grays Harbor P.U.D.",,"Grays Harbor PUD is an electric utility created by the citizens of Grays Harbor County Washington to serve their needs.  Grays Harbor PUD provides electric energy services to homes, business, and industry at the lowest practical cost.  We are an innovative, progressive service organization dedicated to serving our customers and the community.",,,,,"Grays Harbor PUD",91-6001028,,https://www.ghpud.org/
547,,"Mason County PUD #3",,"Mason County PUD No 3",,,,,"Mason County PUD 3",,,http://www.masonpud3.org
548,,P.U.D.,,"Provides reliable energy services to Pacific County customer/owners at the lowest possible cost and to implement all cost-effective energy savings to not only reduce costs and improve reliability, but to ensure the preservation of limited natural resources.",,,,,"Pacific County PUD",,,http://www.pacificpud.org/
549,,"2nd Chance Ranch",,"Committed to providing safe harbor and rehabilitation for unwanted, injured or abandoned domesticated and wild ani8mals, thereby decreasing the number of unnecessary euthanasias performed.  We believe all creatures have inherent value, a right to life, and are entitled to have their basic needs met in a kind and caring manner.  Center Valley Animal Rescue is dedicated to finding loving homes for all adoptable animals in our care. Offers permanent sanctuary to the domestic animals that cannot be adopted and the rehabilitation and release of wild animals.

Center Valley Animal Rescue, as our dedicated volunteers and gracious contributors well know, is an entirely non-profit, volunteer animal rescue and sanctuary. We're a community resource, and we're here because we're needed. Whether it's housing overflow from the county and other shelters, or actively rescuing neglected animals in desperate need of intervention, a ranch that gives animals a second chance is there to help.",,,,,"Center Valley Animal Rescue",450477994,,http://www.centervalleyanimalrescue.org
550,,OSFB,,"The Ocean Shores Food Bank helps individuals and families put nutritious and filling food on the table. We welcome all who need food, people who wish to volunteer, and those who can donate food or money.",,,,,"Ocean Shores Food Bank",237424961,,http://www.oceanshoresfoodbank.org
551,,OFB,,"Food Bank.",,,,,"Oakville Food Bank",,,
552,,"Reachout Food Bank",,"Food Bank.",,,,,"Ocean Park Food Bank",270852377,,
553,,"AARP Tax Aide",,"AARP Tax-Aide Program for free tax preparation.",,,,,"Free Tax Preparation - Mason",,,
554,,,,"AARP Tax Sites for Grays Harbor County.",,,,,"Free Tax Preparation - Grays Harbor",,,
555,,,,"AARP Pacific County.",,,,,"Free Tax Preparation - Pacific",,,
556,,"Pacific Senior Companion Program",,"Grays Harbor/Pacific/Thurston Senior Companion Program is a volunteer program utilizing adults 55 years and older who receive training and benefits to compensate for out-of-pocket expenses. These trained volunteers provide one-on-one assistance to adults 18 years or older who are ill/handicapped and/or recuperating from illness and living in an independent living environment. Volunteers provide weekly visiting/companionship, socialization activities, assistance with reading/writing correspondence for sight impaired, record keeping chores, provide respite care for family caregivers, exercising/walking for mobility impaired, limited escort service to do local errands such as grocery shopping, advocacy for obtaining other local community services, attend medical appointments within 5 miles of residence.  Transportation is NOT a priority for this program and volunteers will not be placed with individuals solely for transportation needs. The program does not provide housekeeping and or nursing care services.  The program provides services for no charge and with no income guidelines requirements.  The program is not able to provide services to Assisted Living, Retirement facilities, Adult family group homes or long term care facilities.  Volunteers can be placed with individuals in rehabilitation centers who will be returning to an independent living situation.",,,,,"Grays Harbor/Pacific/Thurston Senior Companion Program",,,http://seniorcompanionprogram.org
557,,"NJP - Northwest Justice Project",,"Provides legal assistance and information to low-income people in civil cases. Offers assistance by volunteer and staff attorneys and courthouse facilitator program. Free legal assistance.",,,,,"Clallam-Jefferson County Pro Bono Lawyers",911636204,,
558,,MCPAP,,"The Prescription Drug Assistance Foundation, in conjunction with Mason Matters, is sponsoring a prescription-assistance pilot project in Mason County. In 2012 they expanded to Thurston County partnering with Sea Mar Community Health Center.  The mission is to make medications available to low-income residents at no or reduced cost.",,,,,"Mason/Thurston County Prescription Assistance Program",,,http://www.mtgmeds.org/
559,,,,"Cove City Outreach is a non-profit organization which provides a food bank with government commodities and emergency food assistance to low income individuals and families.",,,,,"Cove City Outreach",55-0885495,,
560,,PAWS,,"PAWS of Bainbridge Island and North Kitsap advocates, educates, and provides direct services to nurture the bond of companionship between pets and their people, for the health and well-being of both.  PAWS provides pet adoption, low-cost spay/neuter, emergency veterinary financial assistance, emergency short-term pet foster placement, pet food bank, and humane education in their service area of Bainbridge Island and North Kitsap (as far south as Silverdale). They also manage www.KitsapLostPets.org, a website exclusively set up to list lost and found pets in Kitsap County.",,,,,"Progressive Animal Welfare Society of Bainbridge Island and North Kitsap",91-0952064,,http://www.pawsbainbridge.org
561,,TUMC,,"Provides a free meal to the community on the Last Thursday of the month at 6pm.  Call to make a reservation M-W, 9am-2pm during the last week of the month.",,,,,"Trinity United Methodist Church",,,http://www.sequimtumc.org
562,,"3 Rs (Rescue, Restored, Redeemed) Thrift Shop",,"The Seventh day Adventist Church has a Community Services Center consisting of a food bank, clothing bank, and thrift store to help those in need.  The food bank is supported by a number of entities including Northwest Harvest, Coastal Harvest, the Union Gospel Mission, the thrift store and other entities.",,,,,"Adventist Community Services of Grays Harbor",45-4208191,,
563,,CCAP,,"Coastal Community Action Program is dedicated to enhancing the quality of life of individuals, families, the elderly, children and youth, and people with disabilities in Grays Harbor and Pacific Counties.",,,,,"Coastal Community Action Program - Pacific",916066958,,http://www.coastalcap.org/
564,,,,"High quality instruction is provided in a variety of course offerings that apply to the Associate in Arts transfer degree.  Students have access to the full range of student services, a faculty-staffed learning center, lectures and events that are open to the public, and a variety of Community and Business Education classes.  Also in Jefferson County, Adult Basic Education (GED and Basic Skills) and English as a Second Language classes are provided; and students have access to the Early Childhood Education program via ITV from Port Angeles.",,,,,"Peninsula College - East Jefferson County",91-0824213,,http://www.pencol.edu
565,,SUMC,,"The Silverdale United Methodist Church provides food and clothing bank in addition to a free dinner every Tuesday evening from 4pm-5pm.",,,,,"Silverdale United Methodist Church",,,
566,,FLC,,"With a vision for family and community, Faith Life Church is committed to making a difference. We are a  non-denominational  full gospel church located in Port Orchard WA.",,,,,"Walk in Faith Ministries",,,http://www.walkinfaithministries.net/
567,,TAFY,,"Embracing youth and young adults nutritionally, spiritually, and emotionally throughout our community.",,,,,"The Answer for Youth",264089958,,http://theanswer4youth.org
568,,PCAP,,"Coordinates home visitation and case management services for pregnant and parenting women using substances during pregnancy, and have little or no connection to community services including prenatal and postnatal care. Program is in affiliation with the University of Washington School of Medicine & Psychiatry, Fetal Alcohol and Drug Unit (UW/FADU), and provided to Kitsap County via Agape' Unlimited. Services include case management and referrals for all family members. Program is free to eligible participants and receive a 3-year committment to service.",,,,,"Kitsap Parent-Child Assistance Program",,,http://depts.washington.edu/fadu
569,,,,"Washington State Employment Security Division.",,,,,"Worksource - Grays Harbor",,,http://www.go2worksource.com
570,,,,"State of Washington Employment Security Division",,,,,"Worksource - Pacific",,,http://www.esd.wa.gov/
571,,BSA,,"The Boy Scouts of America is one of the nation's largest and most prominent values-based youth development organizations. The BSA provides a program for young people that builds character, trains them in the responsibilities of participating citizenship, and develops personal fitness.",,,,,"Boy Scouts of America - Sinclair District",,,http://www.seattlebsa.org/Sinclair
572,,,,"EMPLOYMENT PLANNING and  ASSESSMENT:  
Individually designed services provide participants with the opportunity to explore work options and try out a job.  Job tryouts can be developed within the local business community or at one of Morningside's structured work areas to gather information regarding vocational strengths, interests, abilities and needs in order to obtain and maintain employment.

COMPETITIVE JOB PLACEMENT:
Through partnerships with local employers, Morningside identifies and develops employment opportunities for participants based on individual skills, interests, abilities, and vocational goals.  In addition to the hiring process; on-the-job training, structured follow-up, job retraining, and employer consultation services can be provided.

INDIVIDUAL SUPPORTED EMPLOYMENT:
Supported employment is a creative approach to employment for people with disabilities.  Participants receive individualized training and long-term support to ensure job satisfaction and that employee performance meets employer standards.",,,,,"Morningside - Clallam",910757099,,http://www.morningsideservices.com
573,,"Bremerton Teen Center",,"The mission of the Boys and Girls Clubs is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",,,,,"Boys and Girls Clubs of South Puget Sound - Kitsap",,,
574,,"Boys & Girls Club",,"The mission of the Boys and Girls Club of Bainbridge Island is to inspire and enable all young people, especially those who need us most, to realize their full potential as productive, responsible and caring citizens.",,,,,"Boys and Girls Club of Bainbridge Island",,,http://bi.positiveplace.org
575,,"Grays Harbor Sexual Assault Coalition",,"Support, education and empowerment to all people impacted by sexual violence.  Support through legal and medical procedures as it applies to issues of sexual violence.  24-hour response and crisis intervention, information referral, community education, prevention workshops, support groups, and financial resources for therapy for primary and secondary victims who are uninsured or underinsured.",,,,,"Beyond Survival",911913480,,http://www.ghbeyondsurvival.com/
576,,"Love INC.",,"Love In the Name of Christ (Love INC) brings Christian churches together, across denominational lines, to help the poor by meeting  needs such as medical supplies,household items, firewood, furniture and clothing, to longer-term responses through relational ministries such as life skills training , financial counseling and mentorship.",,,,,"Love INC - Mason",270444684,,http://masoncountyloveinc.org/
577,,NMR,,"North Mason Resources Navigators to a better life; provides a resource center for a number of government and non-profit organizations as well as providing support for services in our community.  Offers space to other community resources providing outreach services to the North Mason Area.",,,,,"North Mason Resources",27-1532961,,http://www.nmresources.org
578,,"Summer Camp",,"The YMCA of Grays Harbor is a community service organization whose mission is to put Christian principles into practice through programs that build healthy spirit, mind and body for all.",,,,,"YMCA of Grays Harbor",911984900,,http://www.ghymca.net/
579,,"Association for Retarded Citizens of Grays Harbor County",,"The mission of The Arc of Grays Harbor: a non-profit organization which advocates and supports a better quality of life for people with developmental disabilities and their families.",,,,,"The Arc of Grays Harbor",912010058,,http://www.arcgh.org/
580,,WHHH,,"Willapa Harbor Helping Hands is a non-profit organization founded in October of 2004 by local residents interested in helping ease the financial burden of local cancer patients and their families.",,,,,"Willapa Harbor Helping Hands",202287667,,http://whhh.org
581,,ARF,,"Animal Rescue Families (ARF) is a non-profit, volunteer staffed, no kill animal rescue organization.  Our foster home system provides safe haven for abandoned, abused, or unwanted domestic animals.",,,,,"Animal Rescue Families",911721698,,http://animalrescuefamilies.org/
582,,NJP,,"Provides free legal advice and representation in civil cases to low-income Washington residents.  Specializes in the areas of housing, family, health, public benefits, and consumer and education law.  Addresses needs of seniors, immigrants, children, people with disabilities and other vulnerable members of the low-income community.",,,,,"Northwest Justice Project - Grays Harbor",,,http://www.nwjustice.org
583,,911,,"To work with our Public Safety Partners to provide quality Police, Fire, 9-1-1, and Medical services to all who live, work, and visit Mason County. By answering 9-1-1 and non-emergency calls in a prompt, efficient and professional manner and dispatching the appropriate response, we help to save lives, protect property and assist citizens in their time of need.",,,,,"Mason County Emergency Communications",30-0527511,,http://macecom.org/
584,,911,,"Grays Harbor Communications is a county wide emergency communications agency created by Interlocal Agreement for the purpose of providing Enhanced 9-1-1 services to the citizens and first responders within Grays Harbor County.",,,,,"Grays Harbor Communications",,,http://gh911.org
585,,"DAV Chapter 5",,"The Kitsap County Veterans Assistance Fund (formerly known as the Soldiers and Sailors Relief Fund) provides temporary emergency assistance to veterans.",,,,,"Disabled American Veterans - Kitsap",91-6055848,,http://www.davmembersportal.org/chapters/wa/05/default.aspx
586,,IEDI,,"Provides one-on-one nutrition counseling for individuals and families. Specializing in clients with eating disorders.  Accepts sliding scale and most insurances.",,,,,"Passionate Nutrition and International Eating Disorder Institute",45-2733828,,http://www.passionatenutrition.com
587,,NMCCC,,"North Mason Coalition of Churches and Community partners with local churches, community individuals and organizations to meet nutritional and food insecurity needs in our community.",,,,,"North Mason Coalition of Churches and Community",20-5496121,,http://northmasoncoalition.com/
588,,FAMH,,"Assists parents and caregivers of children and youth that struggle with social, emotional, behavioral challenges and mental health needs to connect with other parents, resources and services.",,,,,"Family Alliance for Mental Health",,,http://www.familyallianceformentalhealth.com
589,,KCR,,"The Housing Solutions Center (HSC) of Kitsap County offers individuals and families who are homeless or at risk of becoming homeless a one-stop location to access all forms of housing assistance including emergency shelters, rental & deposit assistance, as well as landlord referrals.",,,,,"Housing Solutions Center",,,http://kcr.org/housing_services.htm
590,,"Cascades Living Group",,"Cascades Living Group provides senior living and care communities throughout the western United States.  Cascades Living Group owns, operates, and develops senior housing communities for a broad range of senior living options including active, independent, assisted living and integrated Alzheimer's and memory care communities.",,,,,"Cascades of Bremerton",,,http://cascadesofbremerton.com
591,,PRS,,"Peninsula Rehabilitation Services is a local service of the state-wide Independent Living for Older Blind Program (ILOB).  The program is co-administered by the Department of Services for the BLind and University of Washington.  The program serves adults 55 years of age an older whose vision loss is interfering with their normal activities.  THese services are provided individually to persons in their own home.  The program can assist adults on gaining confidence and skills to perform tasks such as meal preparation, managing medications, household chores, getting around within the home and community, reading, writing, banking, and recreational activities.",,,,,"Peninsula Rehabilitation Services",,,
592,,,,"Offering individual psychotherapy, art therapy and mindfulness training for adults and adolescents.  Specializes in anxiety, depression, trauma/PTSD, grief, life transitions, and most other difficult life experiences. Call for a complimentary phone consultation. Sliding scale available, private pay, no insurances accepted.",,,,,"Susan Sweetwater, BFA, MSW, SWAIC",,,
